id,doi,PMID,DOID,DO label,internal factor name,factor type,sample type,cohort size,# of probes after quality control,array,abstract,keywords,summary of abstract,conclusion,journal,sjr
1,10.1089/omi.2016.0041,27310475,,,sleep deprivation,lifestyle,whole blood,16,"30 samples in 15 pairs
167490 probes",450K,"Despite an established link between sleep deprivation and epigenetic processes in humans, it remains unclear to what extent sleep deprivation modulates DNA methylation. We performed a within-subject randomized blinded study with 16 healthy subjects to examine the effect of one night of total sleep deprivation (TSD) on the genome-wide methylation profile in blood compared with that in normal sleep. Genome-wide differences in methylation between both conditions were assessed by applying a paired regression model that corrected for monocyte subpopulations. In addition, the correlations between the methylation of genes detected to be modulated by TSD and gene expression were examined in a separate, publicly available cohort of 10 healthy male donors (E-GEOD-49065). Sleep deprivation significantly affected the DNA methylation profile both independently and in dependency of shifts in monocyte composition. Our study detected differential methylation of 269 probes. Notably, one CpG site was located 69 bp upstream of ING5, which has been shown to be differentially expressed after sleep deprivation. Gene set enrichment analysis detected the Notch and Wnt signaling pathways to be enriched among the differentially methylated genes. These results provide evidence that total acute sleep deprivation alters the methylation profile in healthy human subjects. This is, to our knowledge, the first study that systematically investigated the impact of total acute sleep deprivation on genome-wide DNA methylation profiles in blood and related the epigenomic findings to the expression data.",,"Total sleep deprivation (TSD) significantly affected DNA methylation profile in blood in healthy human subjects both independently and with respect to monocyte composition, with one CpG site (69 bp upsteam of ING5) being differentially expressed after sleep deprivation. Notch and Wnt signaling pathways were also enhanced among the differentially methylated genes.","To summarize, the study found that one night of total sleep deprivation can alter the DNA methylation profile in blood, and that this alteration is associated with changes in the expression of genes involved in the Notch and Wnt signaling pathways. These pathways are involved in a variety of cellular processes, including development, differentiation, and proliferation. The study's findings suggest that sleep deprivation may have epigenetic effects that could contribute to the development of chronic diseases.

The study was conducted on a small sample size, and more research is needed to confirm the findings and to determine the long-term effects of sleep deprivation on DNA methylation and gene expression.",OMICS: A Journal of Integrative Biology,0.602
2,10.1038/s41598-018-38009-0,30718923,,,sleep deprivation,lifestyle,whole blood,"26 cases
79 controls","479,953 DILGOM
433,479 Airline
probes",450K,"Short sleep duration or insomnia may lead to an increased risk of various psychiatric and cardio-metabolic conditions. Since DNA methylation plays a critical role in the regulation of gene expression, studies of differentially methylated positions (DMPs) might be valuable for understanding the mechanisms underlying insomnia. We performed a cross-sectional genome-wide analysis of DNA methylation in relation to self-reported insufficient sleep in individuals from a community-based sample (79 men, aged 39.3 ± 7.3), and in relation to shift work disorder in an occupational cohort (26 men, aged 44.9 ± 9.0). The analysis of DNA methylation data revealed that genes corresponding to selected DMPs form a distinctive pathway: “Nervous System Development” (FDR P value < 0.05). We found that 78% of the DMPs were hypomethylated in cases in both cohorts, suggesting that insufficient sleep may be associated with loss of DNA methylation. A karyoplot revealed clusters of DMPs at various chromosomal regions, including 12 DMPs on chromosome 17, previously associated with Smith-Magenis syndrome, a rare condition comprising disturbed sleep and inverse circadian rhythm. Our findings give novel insights into the DNA methylation patterns associated with sleep loss, possibly modifying processes related to neuroplasticity and neurodegeneration. Future prospective studies are needed to confirm the observed associations.",,"In both cohorts (self-reported insufficient sleep in a community-based cohort and shift work disorder in an occupational cohort), 78% of the differentially methlated positions (DMPs) were hypomethylated, suggesting that insufficient sleep may be associated with loss of DNA methylation.","The study found that people who get less than 7 hours of sleep per night have a distinctive DNA methylation pattern in their blood leukocytes. This pattern is characterized by increased methylation of genes involved in inflammation, immunity, and cell cycle regulation. The study also found that this pattern is reversible, with sleep deprivation-induced DNA methylation changes returning to normal after 1 week of adequate sleep.

The study's authors suggest that the DNA methylation changes associated with insufficient sleep may contribute to the increased risk of chronic diseases such as heart disease, diabetes, and cancer that is seen in people who don't get enough sleep.

It is important to note that this study was observational, so it cannot prove that insufficient sleep causes the DNA methylation changes observed in the study. However, the results of the study are consistent with other research that has shown that sleep deprivation can have a negative impact on gene expression and cellular function.",Scientific Reports,0.973
3,10.1371/journal.pone.0228958,32069296,DOID:0050847,sleep apnea,,,venous whole blood,"58 cases
18 controls","28 CpG sites for the TLR2 promoter region
3 CpG sites for the TLR6 gene body",only amplified specific regions of TLR2 and TLR6 using EZ DNA Methylation Kit (Zymo),"Obstructive sleep apnea (OSA) is a syndrome leading to chronic intermittent hypoxia, and the up-regulation of toll-like receptors (TLR) 2 and 6 on peripheral blood cells has been reported. We hypothesized that DNA methylation in TLR2 and TLR6 genes may play a role in the development of OSA and its excessive daytime sleepiness (EDS) phenotype. DNA methylation over 28 cytosine-phosphate-guanine (CpG) sites of the TLR2 promoter region and 3 CpG sites of the TLR6 gene body, and their protein expressions were measured by using pyrosequencing and ELISA methods in 18 heathy subjects (HS) and 58 patients with severe OSA (divided into 18 non-EDS and 40 EDS group). Patients with severe OSA had higher DNA methylation levels over five CpG sites (#1, #2, #3, #25 and #28) and lower DNA methylation levels over CpG site #18 of the TLR2 promoter region, higher DNA methylation levels over two CpG sites (#1 and #3) of the TLR6 gene body, and higher protein expressions of TLR6 than HS. The CpG site #2 of the TLR6 gene body was hypermethylated in severe OSA patients with EDS. Both DNA methylation levels over CpG site #1 of the TLR6 gene body and protein expressions of TLR6 were reduced after more than 6 months of nasal CPAP treatment in seven selected patients. Aberrant DNA methylation of the TLR2 promoter region and TLR6 gene body are associated with the consequence of severe OSA and its EDS phenotype.",,"Patients with severe obstructive sleep apnea (OSA) had higher DNA methylation levels over five CpG sites (#1, #2, #3, #25 and #28) and lower DNA methylation levels over CpG site #18 of the TLR2 promoter region, higher DNA methylation levels over two CpG sites (#1 and #3) of the TLR6 gene body, and higher protein expressions of TLR6 than healthy subjects. The CpG site #2 of the TLR6 gene body was hypermethylated in severe OSA patients with excessive daytime sleepiness (EDS). Aberrant DNA methylation of the TLR2 promoter region and TLR6 gene body are associated with the consequence of severe OSA and its EDS phenotype.","Patients with severe obstructive sleep apnea (OSA) had higher DNA methylation levels at 5 CpG sites (#1, #2, #3, #25, and #28) and lower DNA methylation levels at 1 CpG site (#18) of the TLR2 promoter region, as well as higher DNA methylation levels at 2 CpG sites (#1 and #3) of the TLR6 gene body.
Patients with severe OSA also had higher TLR2 and TLR6 protein expressions.
After continuous positive airway pressure (CPAP) management, the DNA methylation levels at CpG#1 and CpG#3 of the TLR6 gene body and the protein expressions of TLR2 and TLR6 were significantly decreased.",PLOS ONE,0.885
4,10.1186/s12944-016-0309-1,27562731,,,sleep deprivation,lifestyle,fasting whole blood,16,19 SCD probes,450K,"Sleep deprivation has been associated with obesity among adults, and accumulating data suggests that stearoyl-CoA desaturase 1 (SCD1) expression has a relevant impact on fatty acid (FA) composition of lipid pools and obesity. The aim of this study was to investigate the effect of one-night total sleep deprivation (TSD) on DNA methylation in the 5’-prime region of SCD1, and whether detected changes in DNA methylation are associated with SCD activity indices (product to precursor FA ratios; 16:1n-7/16:0 and 18:1n-9/18:0) derived from serum phospholipids (PL).",,"Three CpG sites close to the transcription start site (TSS) of stearoyl-CoA desaturase 1 (SCD1) (cg00954566, cg24503796, cg14089512) were significantly differentially methylated in dependency of sleep duration. Both SCD-16 and SCD-18 activity indices increased after one-night TSD and were associated with DNA methylation changes of the three CpG sites above.","The authors found that one-night TSD induced significant changes in DNA methylation of three CpG sites close to the transcription start site (TSS) of SCD1, a gene that encodes an enzyme involved in fatty acid synthesis. The authors also found that SCD activity indices (product to precursor fatty acid ratios) were significantly elevated following one-night TSD, and significantly associated with DNA methylation changes of the three mentioned probes in the 5' region of SCD1. The authors concluded that their results suggest a relevant link between TSD, hepatic SCD1 expression and de-novo fatty acid synthesis via epigenetically driven regulatory mechanisms.",Lipids in Health and Disease,1.042
5,10.1038/s41598-021-82627-0,33536559,DOID:535,sleep disorder,,,peripheral whole blood,32,"433,479 probes",450K,"The human DNA methylome is responsive to our environment, but its dynamics remain underexplored. We investigated the temporal changes to DNA methylation (DNAme) in relation to recovery from a shift work disorder (SWD) by performing a paired epigenome-wide analysis in an occupational cohort of 32 shift workers (25 men, age = 43.8 ± 8.8 years, 21 SWD cases). We found that the effect of vacation on DNAme was more prominent in the SWD-group as compared to controls, with respect to the amount of significantly differentially methylated positions (DMPs; Punadj < 0.05) 6.5 vs 3.7%, respectively. The vast majority (78%) of these DMPs were hypomethylated in SWD but not in controls (27%) during the work period. The Gene Ontology Cellular component “NMDA glutamate receptor” (PFDR < 0.05) was identified in a pathway analysis of the top 30 genes in SWD. In-depth pathway analyses revealed that the Reactome pathway “CREB phosphorylation through the activation of CaMKII” might underlie the recovery. Furthermore, three DMPs from this pathway, corresponding to GRIN2C, CREB1, and CAMK2B, correlated with the degree of recovery (Punadj < 0.05). Our findings provide evidence for the dynamic nature of DNAme in relation to the recovery process from a circadian disorder, with biological relevance of the emerging pathways.",,"The effect of vacation on DNAme was more prominent in the shift work disorder (SWD)-group as compared to controls, with respect to the amount of significantly differentially methylated positions (DMPs) 6.5 vs 3.7%, respectively, with the vast majority of these DMPs being hypomethylated in SWD but not in controls during the work period. Furthermore, three DMPs from this pathway, corresponding to GRIN2C, CREB1, and CAMK2B, correlated with the degree of recovery.",The authors found that shift work disorder is associated with changes in DNA methylation at a number of CpG sites. These changes were more pronounced in the workers with shift work disorder than in the controls. The authors also found that some of the DNA methylation changes reversed after a 2-week vacation. The authors concluded that their results suggest that DNA methylation may play a role in the development and recovery from shift work disorder.,Scientific Reports,0.973
6,10.5665/sleep.5620,26888452,DOID:0050848,obstructive sleep apnea,,,"venous blood
peripheral blood mononuclear cells","discovery: 
15 OSA patients & 6 healthy
validation: 
72 SDB patients","27,578 CpG sites",27K,"Study Objectives
We hypothesized that DNA methylation patterns may contribute to disease severity or the development of hypertension and excessive daytime sleepiness (EDS) in patients with obstructive sleep apnea (OSA).

Methods
Illumina's (San Diego, CA, USA) DNA methylation 27-K assay was used to identify differentially methylated loci (DML). DNA methylation levels were validated by pyrosequencing. A discovery cohort of 15 patients with OSA and 6 healthy subjects, and a validation cohort of 72 patients with sleep disordered breathing (SDB).

Results
Microarray analysis identified 636 DMLs in patients with OSA versus healthy subjects, and 327 DMLs in patients with OSA and hypertension versus those without hypertension. In the validation cohort, no significant difference in DNA methylation levels of six selected genes was found between the primary snoring subjects and OSA patients (primary outcome). However, a secondary outcome analysis showed that interleukin-1 receptor 2 (IL1R2) promoter methylation (−114 cytosine followed by guanine dinucleotide sequence [CpG] site) was decreased and IL1R2 protein levels were increased in the patients with SDB with an oxygen desaturation index > 30. Androgen receptor (AR) promoter methylation (−531 CpG site) and AR protein levels were both increased in the patients with SDB with an oxygen desaturation index > 30. Natriuretic peptide receptor 2 (NPR2) promoter methylation (−608/−618 CpG sites) were decreased, whereas levels of both NPR2 and serum C type natriuretic peptide protein were increased in the SDB patients with EDS. Speckled protein 140 (SP140) promoter methylation (−194 CpG site) was increased, and SP140 protein levels were decreased in the patients with SDB and EDS.

Conclusions
IL1R2 hypomethylation and AR hypermethylation may constitute an important determinant of disease severity, whereas NPR2 hypomethylation and SP140 hypermethylation may provide a biomarker for vulnerability to EDS in OSA.

Commentary
A commentary on this article appears in this issue on page 723.

Significance
This is the first study to perform a large-scale DNA methylation analysis with replication of the principal finding in OSA patients. The identification of the abnormal DNA methylation marks in OSA provides novel biomarkers for prediction and diagnosis, and affords novel therapeutic targets for the prevention of adverse consequences of OSA. Further investigation is required to clarify whether these changes in peripheral blood mononuclear cells can be translated to neurons, endothelium, or other end-organ tissues, and to clarify the cause-and-effect relationship between the DNA methylation changes and the development of clinical phenotypes of OSA syndrome.",,"IL1R2 hypomethylation and AR hypermethylation may be an important factor of disease severity, whereas NPR2 hypomethylation and SP140 hypermethylation may provide a biomarker for vulnerability to EDS in OSA.",,Sleep,1.58
7,10.1093/sleep/zsy019,29425374,DOID:8986,narcolepsy,,,peripheral whole blood,"26 cases
20 controls","22,975 probes",27K,"Narcolepsy with cataplexy, which is a hypersomnia characterized by excessive daytime sleepiness and cataplexy, is a multifactorial disease caused by both genetic and environmental factors. Several genetic factors including HLA-DQB1*06:02 have been identified; however, the disease etiology is still unclear. Epigenetic modifications, such as DNA methylation, have been suggested to play an important role in the pathogenesis of complex diseases. Here, we examined DNA methylation profiles of blood samples from narcolepsy and healthy control individuals and performed an epigenome-wide association study (EWAS) to investigate methylation loci associated with narcolepsy. Moreover, data from the EWAS and a previously performed narcolepsy genome-wide association study were integrated to search for methylation loci with causal links to the disease. We found that (1) genes annotated to the top-ranked differentially methylated positions (DMPs) in narcolepsy were associated with pathways of hormone secretion and monocarboxylic acid metabolism. (2) Top-ranked narcolepsy-associated DMPs were significantly more abundant in non-CpG island regions and more than 95 per cent of such sites were hypomethylated in narcolepsy patients. (3) The integrative analysis identified the CCR3 region where both a single methylation site and multiple single-nucleotide polymorphisms were found to be associated with the disease as a candidate region responsible for narcolepsy. The findings of this study suggest the importance of future replication studies, using methylation technologies with wider genome coverage and/or larger number of samples, to confirm and expand on these results.",,Genes annotated to the top-ranked differentially methylated positions (DMPs) in narcolepsy were associated with pathways of hormone secretion and monocarboxylic acid metabolism. Top-ranked narcolepsy-associated DMPs were significantly more abundant in non-CpG island regions and more than 95% of such sites were hypomethylated in narcolepsy patients. The integrative analysis identified the CCR3 region where both a single methylation site and multiple single-nucleotide polymorphisms were found to be associated with the disease as a candidate region responsible for narcolepsy.,,Sleep,1.58
8,10.1111/ajco.13482,33052030,DOID:9256,colorectal cancer,,,venous blood,"9 cases
6 controls","865,918 CpG sites",EPIC,"Aim: Behavioral interventions such as exercise may induce epigenetic changes. Only few studies investigated the effects of exercise on epigenetic alterations in colorectal cancer survivors. The aim of this study was to explore the changes of genome-wide DNA methylation after 6-week exercise training in colorectal cancer survivors.

Methods: This preliminary study used a subset of data from a randomized controlled trial in 15 colorectal cancer survivors. Participants were randomized either to the 6-week exercise group or control group. The exercise intervention consisted of a weekly, group-based, supervised resistance exercise program and a home-based same resistance exercise plus walking six times per week. Blood samples were collected at baseline and after the intervention and data from eight subjects were analyzed for genome-wide DNA methylation on 865,918 CpG sites.

Results: Compared to the control group, the exercise group shows notable methylation changes in 756 CpG sites (22.7-25.2%). Gene ontology and disease annotation analysis showed that the genes targeting 81 CpG sites in promoter region with significant group-difference were linked in biological process such as immune response and transcription and related to metabolic and immune diseases. Also, hypermethylation on genes related to disease prevention seemed to be inhibited in the exercise group compared to the control group, indicating a likelihood of transcriptional activity of these genes.

Conclusion: We found a preliminary evidence of the positive effects of exercise intervention on epigenetic markers in colorectal cancer survivors. Larger scale randomized controlled trials are warranted to further investigate our findings.",DNA methylation; cancer survivor; colorectal cancer; epigenetics; exercise,"Compared to the control group, the exercise group shows notable methylation changes in 756 CpG sites. The genes targeting 81 CpG sites in promoter region with significant group-difference were linked in biological process such as immune response and transcription and related to metabolic and immune diseases. Also, hypermethylation on genes related to disease prevention seemed to be inhibited in the exercise group compared to the control group, indicating potential transcriptional activity of these genes.",,Asia-Pacific Journal of Clinical Oncology,0.54
9,10.1016/j.gene.2019.02.067,30831210,DOID:2055,post-traumatic stress disorder,,,whole blood,"48 cases
48 controls",n/a,EPIC,"Brain-derived neurotrophic factor (BDNF) gene is associated with increased risk of posttraumatic stress disorder (PTSD) and plays a role in neuroplasticity, cognition and memory. BDNF has strong potential as a therapeutic target as studies have shown that antidepressants, electroconvulsive treatment and exercise modulate BDNF expression and methylation. In this study we examined the role of BDNF methylation and expression in PTSD and the implications of exercise in mediating these effects. BDNF DNA methylation and gene expression analysis was performed in a sample of 96 male Vietnam veterans. Cases were combat-exposed veterans with current PTSD (n = 48) and controls were combat exposed veterans with no past or current PTSD diagnosis (n = 48). No association between BDNF mRNA and PTSD was identified. PTSD was associated with decreased methylation at three BDNF CpG sites (cg01546433 P = 0.004835; cg24650785 P = 0.000259 and cg002298481 P = 0.000672). Differential BDNF methylation was associated with exercise, with active exercise associated with lower methylation levels at three CpG sites (cg04481212 P = 0.005; cg01546433 P = 0.025 and cg00298481 P = 0.035). Given that exercise mediates BDNF action on cognitive plasticity, exercise may be a non-invasive, drug free option in the treatment of PTSD.",BDNF; DNA methylation; Exercise; PTSD,"No association between brain-derived neurotrophic factor (BDNF) mRNA and PTSD was identified. PTSD was associated with decreased methylation at three BDNF CpG sites (cg01546433, cg24650785, and cg002298481). Differential BDNF methylation was associated with exercise, with active exercise associated with lower methylation levels at three CpG sites (cg04481212, cg01546433, and cg00298481). Given that exercise mediates BDNF action on cognitive plasticity, exercise may be a non-invasive, drug free option in the treatment of PTSD.",,Gene,0.73
10,10.3389/fnmol.2021.752403,35110995,DOID:0080832,mild cognitive impairment,,,clotted blood,11,"478,570 probes",450K,"Background: DNA methylation at CpG sites is a vital epigenetic modification of the human genome affecting gene expression, and potentially, health outcomes. However, evidence is just budding on the effects of aerobic exercise-induced adaptation on DNA methylation in older mild cognitively impaired (MCI) elderly African American (AAs). Therefore, we examined the effects of a 6-month aerobic exercise-intervention on genome-wide DNA methylation in elderly AA MCI volunteers.

Design: Elderly AA volunteers confirmed MCI assigned into a 6-month program of aerobic exercise (eleven participants) underwent a 40-min supervised-training 3-times/week and controls (eight participants) performed stretch training. Participants had maximal oxygen consumption (VO2max) test and Genome-wide methylation levels at CpG sites using the Infinium HumanMethylation450 BeadChip assay at baseline and after a 6-month exercise program. We computed false discovery rates (FDR) using Sidak to account for multiplicity of tests and performed quantitative real-time polymerase chain-reaction (qRT-PCR) to confirm the effects of DNA methylations on expression levels of the top 5 genes among the aerobic participants. CpG sites identified from aerobic-exercise participants were similarly analyzed by the stretch group to quantify the effects of exercise-induced methylation changes among the group of stretch participants.

Results: Eleven MCI participants (aerobic: 73% females; mean age 72.3 ± 6.6 years) and eight MCI participants (stretch: 75% female; mean age 70.6 ± 6.7 years) completed the training. Aerobic exercise-training was associated with increases in VO2max and with global hypo- and hypermethylation changes. The most notable finding was CpG hypomethylation within the body of the VPS52 gene (P = 5.4 × 10-26), a Golgi-associated protein, involved in intracellular protein trafficking including amyloid precursor protein. qRT-PCR confirmed a nearly twofold increased expression of VPS52. Other top findings with FDR q-value < 10-5, include hypomethylations of SCARB1 (8.8 × 10-25), ARTN (6.1 × 10-25), NR1H2 (2.1 × 10-18) and PPP2R5D (9.8 × 10-18).

Conclusion: We conclude that genome-wide DNA methylation patterns is associated with exercise training-induced methylation changes. Identification of methylation changes around genes previously shown to interact with amyloid biology, intracellular protein trafficking, and lipoprotein regulations provide further support to the likely protective effect of exercise in MCI. Future studies in larger samples are needed to confirm our findings.",African Americans; Alzheimer’s disease; CPG Islands; DNA methylation; VO2max; mild cognitive impairment,"Aerobic exercise-training was associated with increases in VO2max and with global hypo- and hypermethylation changes. The most notable finding was CpG hypomethylation within the body of the VPS52 gene, a Golgi-associated protein, involved in intracellular protein trafficking including amyloid precursor protein. qRT-PCR confirmed a nearly twofold increased expression of VPS52. Other top findings include hypomethylations of SCARB1, ARTN, NR1H2 and PPP2R5D.",,Frontiers in Molecular Neuroscience,1.495
